Acorn,Acorn_grouped,DateTime,nb_clients,Conso_moy,Date
ACORN-K,Adversity,2012-06-30 22:00:00,146,0.219821917808219,2012-06-30
ACORN-K,Adversity,2012-06-30 22:30:00,146,0.215787671232877,2012-06-30
ACORN-K,Adversity,2012-06-30 23:00:00,146,0.173602739726027,2012-06-30
ACORN-K,Adversity,2012-06-30 23:30:00,146,0.167034246575342,2012-06-30
ACORN-K,Adversity,2012-07-01 00:00:00,146,0.140061643835616,2012-07-01
ACORN-K,Adversity,2012-07-01 00:30:00,147,0.128775510204082,2012-07-01
ACORN-K,Adversity,2012-07-01 01:00:00,147,0.112299319727891,2012-07-01
ACORN-K,Adversity,2012-07-01 01:30:00,147,0.105836734693878,2012-07-01
ACORN-K,Adversity,2012-07-01 02:00:00,147,0.104197278911565,2012-07-01
ACORN-K,Adversity,2012-07-01 02:30:00,147,0.0946394557823129,2012-07-01
ACORN-K,Adversity,2012-07-01 03:00:00,147,0.0902176870748299,2012-07-01
ACORN-K,Adversity,2012-07-01 03:30:00,147,0.090952380952381,2012-07-01
ACORN-K,Adversity,2012-07-01 04:00:00,147,0.0979931972789116,2012-07-01
ACORN-K,Adversity,2012-07-01 04:30:00,147,0.108523810204082,2012-07-01
ACORN-K,Adversity,2012-07-01 05:00:00,147,0.102959183673469,2012-07-01
ACORN-K,Adversity,2012-07-01 05:30:00,147,0.108544218367347,2012-07-01
ACORN-K,Adversity,2012-07-01 06:00:00,147,0.118380952380952,2012-07-01
ACORN-K,Adversity,2012-07-01 06:30:00,147,0.125863945578231,2012-07-01
ACORN-K,Adversity,2012-07-01 07:00:00,147,0.127897959183673,2012-07-01
ACORN-K,Adversity,2012-07-01 07:30:00,147,0.160142857142857,2012-07-01
ACORN-K,Adversity,2012-07-01 08:00:00,147,0.204843537414966,2012-07-01
ACORN-K,Adversity,2012-07-01 08:30:00,147,0.185843536734694,2012-07-01
ACORN-K,Adversity,2012-07-01 09:00:00,147,0.197646258503401,2012-07-01
ACORN-K,Adversity,2012-07-01 09:30:00,147,0.186272108843537,2012-07-01
ACORN-K,Adversity,2012-07-01 10:00:00,147,0.214911563945578,2012-07-01
ACORN-K,Adversity,2012-07-01 10:30:00,147,0.236721088435374,2012-07-01
ACORN-K,Adversity,2012-07-01 11:00:00,147,0.223374150340136,2012-07-01
ACORN-K,Adversity,2012-07-01 11:30:00,147,0.255190476190476,2012-07-01
ACORN-K,Adversity,2012-07-01 12:00:00,147,0.264238095918367,2012-07-01
ACORN-K,Adversity,2012-07-01 12:30:00,147,0.229190476190476,2012-07-01
ACORN-K,Adversity,2012-07-01 13:00:00,147,0.219278910884354,2012-07-01
ACORN-K,Adversity,2012-07-01 13:30:00,147,0.231721087755102,2012-07-01
ACORN-K,Adversity,2012-07-01 14:00:00,147,0.234557823809524,2012-07-01
ACORN-K,Adversity,2012-07-01 14:30:00,147,0.218857142857143,2012-07-01
ACORN-K,Adversity,2012-07-01 15:00:00,147,0.207850340136054,2012-07-01
ACORN-K,Adversity,2012-07-01 15:30:00,147,0.233068026530612,2012-07-01
ACORN-K,Adversity,2012-07-01 16:00:00,147,0.224891157823129,2012-07-01
ACORN-K,Adversity,2012-07-01 16:30:00,147,0.234782313605442,2012-07-01
ACORN-K,Adversity,2012-07-01 17:00:00,147,0.25777550952381,2012-07-01
ACORN-K,Adversity,2012-07-01 17:30:00,147,0.262863945578231,2012-07-01
ACORN-K,Adversity,2012-07-01 18:00:00,147,0.225673469387755,2012-07-01
ACORN-K,Adversity,2012-07-01 18:30:00,147,0.224666666666667,2012-07-01
ACORN-K,Adversity,2012-07-01 19:00:00,147,0.221503400680272,2012-07-01
ACORN-K,Adversity,2012-07-01 19:30:00,147,0.245482993877551,2012-07-01
ACORN-K,Adversity,2012-07-01 20:00:00,147,0.229544217687075,2012-07-01
ACORN-K,Adversity,2012-07-01 20:30:00,147,0.227918368027211,2012-07-01
ACORN-K,Adversity,2012-07-01 21:00:00,147,0.222659863945578,2012-07-01
ACORN-K,Adversity,2012-07-01 21:30:00,147,0.232503401360544,2012-07-01
ACORN-K,Adversity,2012-07-01 22:00:00,147,0.2182517,2012-07-01
ACORN-K,Adversity,2012-07-01 22:30:00,147,0.189210884353742,2012-07-01
ACORN-K,Adversity,2012-07-01 23:00:00,147,0.160469387755102,2012-07-01
ACORN-K,Adversity,2012-07-01 23:30:00,147,0.136054421768707,2012-07-01
ACORN-K,Adversity,2012-07-02 00:00:00,147,0.114605442176871,2012-07-02
ACORN-K,Adversity,2012-07-02 00:30:00,147,0.110544217687075,2012-07-02
ACORN-K,Adversity,2012-07-02 01:00:00,147,0.0968027210884354,2012-07-02
ACORN-K,Adversity,2012-07-02 01:30:00,147,0.0955170068027211,2012-07-02
ACORN-K,Adversity,2012-07-02 02:00:00,147,0.0923741496598639,2012-07-02
ACORN-K,Adversity,2012-07-02 02:30:00,147,0.0902380952380952,2012-07-02
